'자전거번호','대여일시','대여대여소번호','대여대여소명','대여거치대','반납일시','반납대여소번호','반납대여소명','반납거치대','이용시간(분)','이용거리(M)'
'SPB-04529','2018-01-01 00:22:44','2237','서울남부터미널 대합실 입구',11,'2018-01-01 00:33:09','2239','교대역 6번출구',4,10,1270
'SPB-13228','2018-01-01 00:22:53','2028',' 남성역 2번출구 뒷편',9,'2018-01-01 00:30:52','2032',' 이수역 11번출구쪽',4,7,1110
'SPB-07903','2018-01-01 00:23:20','2355',' 삼성역 5~6번 출구 사이',6,'2018-01-01 00:59:11','2368',' 도곡동 경남아파트 건너편',5,34,4060
'SPB-04838','2018-01-01 00:23:34','1209',' 잠실나루역 (2번 출구 쪽)',13,'2018-01-01 00:49:44','3501',' 광진구청 앞',1,25,4190
'SPB-10977','2018-01-01 00:23:54','1269',' 리센츠아파트 ',5,'2018-01-01 00:36:04','1249',' 아주중학교건너편',1,11,1540
'SPB-10672','2018-01-01 00:24:06','2231',' 삼성타운(삼성생명) A동 맞은편',12,'2018-01-01 00:34:49','2211',' 서초구립반포도서관 앞',4,9,2340
'SPB-04752','2018-01-01 00:24:14','108',' 서교동 사거리',3,'2018-01-01 00:27:47','113',' 홍대입구역 2번출구 앞',20,3,790
'SPB-12673','2018-01-01 00:24:15','1269',' 리센츠아파트 ',3,'2018-01-01 00:36:09','1249',' 아주중학교건너편',5,11,1920
'SPB-04309','2018-01-01 00:24:25','1946',' 구로역 광장',1,'2018-01-01 00:38:37','1931',' 개봉역(북측광장)',1,13,2580
'SPB-06687','2018-01-01 00:24:34','1130',' 화곡본동시장 버스정류장',4,'2018-01-01 00:43:37','1135',' 강서구의회',1,18,3650
'SPB-04101','2018-01-01 00:24:44','2355',' 삼성역 5~6번 출구 사이',4,'2018-01-01 01:00:03','2368',' 도곡동 경남아파트 건너편',3,34,4110
'SPB-06793','2018-01-01 00:24:51','502',' 뚝섬유원지역 1번출구 앞',1,'2018-01-01 01:17:11','1308',' 안암로터리 버스정류장 앞',9,51,12250
'SPB-11941','2018-01-01 00:25:18','310',' 청계광장 옆',9,'2018-01-01 00:37:17','384',' 종로학원본원 ',6,11,1690
'SPB-01229','2018-01-01 00:25:20','1520',' 성실교회',1,'2018-01-01 00:44:22','1530',' 광산사거리',8,18,1450
'SPB-12284','2018-01-01 00:25:24','1209',' 잠실나루역 (2번 출구 쪽)',19,'2018-01-01 00:50:08','3501',' 광진구청 앞',5,22,4010
'SPB-06323','2018-01-01 00:25:32','310',' 청계광장 옆',8,'2018-01-01 00:37:09','384',' 종로학원본원 ',4,11,1750
'SPB-11918','2018-01-01 00:25:40','324',' 신세계백화점 본점 앞',4,'2018-01-01 00:41:30','805',' 문배어린이공원 앞',7,15,3560
'SPB-00305','2018-01-01 00:26:10','309',' 광화문역 6번출구 옆',11,'2018-01-01 00:52:46','826',' 서울역 서부교차로2',10,26,2670
'SPB-09458','2018-01-01 00:26:13','1209',' 잠실나루역 (2번 출구 쪽)',17,'2018-01-01 00:49:54','3501',' 광진구청 앞',7,22,4090
'SPB-09094','2018-01-01 00:26:46','1209',' 잠실나루역 (2번 출구 쪽)',16,'2018-01-01 00:49:49','3501',' 광진구청 앞',4,21,3360
'SPB-01085','2018-01-01 00:26:57','1913',' 구로리공원',9,'2018-01-01 00:37:30','1946',' 구로역 광장',4,10,1880
'SPB-10151','2018-01-01 00:27:27','320',' 을지로입구역 4번출구 앞',7,'2018-01-01 01:08:44','810',' 이태원지하보도',3,40,6940
'SPB-09439','2018-01-01 00:27:55','309',' 광화문역 6번출구 옆',13,'2018-01-01 00:52:31','826',' 서울역 서부교차로2',4,22,2620
'SPB-03694','2018-01-01 00:27:59','1233',' 잠실3거리(갤러리아팰리스)',8,'2018-01-01 00:35:59','1235',' 잠실트리지움310동 옆',5,7,1110
'SPB-10471','2018-01-01 00:28:54','516',' 광진메디칼 앞',1,'2018-01-01 00:34:48','507',' 성수아이에스비즈타워 앞',1,5,1240
'SPB-09172','2018-01-01 00:28:55','2050',' 노량진역 5번출구',7,'2018-01-01 00:38:58','2015',' 신대방삼거리역 6번출구쪽',1,9,2070
'SPB-01186','2018-01-01 00:28:59','309',' 광화문역 6번출구 옆',4,'2018-01-01 00:59:49','198',' 충정2교',5,30,1670
'SPB-03907','2018-01-01 00:29:00','1913',' 구로리공원',6,'2018-01-01 00:37:26','1946',' 구로역 광장',6,8,1860
'SPB-11806','2018-01-01 00:29:09','309',' 광화문역 6번출구 옆',3,'2018-01-01 00:59:52','198',' 충정2교',7,29,43660
'SPB-03435','2018-01-01 00:29:13','266',' 영등포청과시장 사거리',3,'2018-01-01 00:38:35','243',' 이앤씨드림타워 앞',10,9,1680
'SPB-10269','2018-01-01 00:29:14','2308',' 압구정파출소 앞',8,'2018-01-01 00:37:09','2310',' 청담동 맥도날드 옆(위치)',5,7,1140
'SPB-01476','2018-01-01 00:29:18','309',' 광화문역 6번출구 옆',6,'2018-01-01 01:38:19','922',' 연신내역 4번출구',6,68,8550
'SPB-02938','2018-01-01 00:29:47','147',' 마포역 4번출구 뒤',7,'2018-01-01 00:39:35','126',' 서강대 후문 옆',7,9,1990
'SPB-09947','2018-01-01 00:30:03','305',' 종로구청 옆',12,'2018-01-01 00:38:04','349',' 사직동주민센터',7,7,1290
'SPB-04438','2018-01-01 00:30:10','268',' 그랜드컨벤션센터 앞',5,'2018-01-01 00:39:37','227',' 양평2나들목 보행통로 입구',5,9,1860
'SPB-13504','2018-01-01 00:30:34','1205',' 종합운동장역 4번출구',2,'2018-01-01 01:31:59','2333',' 양재역 3번출구 주변',15,61,6520
'SPB-09753','2018-01-01 00:30:35','502',' 뚝섬유원지역 1번출구 앞',10,'2018-01-01 00:51:08','503',' 더샵스타시티 C동 앞',10,19,2900
'SPB-07393','2018-01-01 00:30:38','549',' 아차산역 3번출구',1,'2018-01-01 00:48:11','588',' 뚝섬 유원지역',6,16,3790
'SPB-03403','2018-01-01 00:30:51','209',' 유진투자증권빌딩 앞',1,'2018-01-01 00:34:11','216',' 삼부아파트1동 앞',2,2,640
'SPB-02220','2018-01-01 00:31:09','1210',' 롯데월드타워(잠실역2번출구 쪽)',10,'2018-01-01 01:21:19','590',' 건국대학교 (입학정보관)',7,49,4970
'SPB-07862','2018-01-01 00:31:32','2235','KT 서초지사 앞',2,'2018-01-01 00:48:05','2242','양재역 11번 출구 앞',19,16,3120
'SPB-09545','2018-01-01 00:31:43','1210',' 롯데월드타워(잠실역2번출구 쪽)',13,'2018-01-01 01:01:30','1218',' 방이역 4번출구',1,29,3530
